LANDMARK_DIFFUSION_TIMES,LANDMARK_INFERENCE_TIMES,LANDMARK_TOTAL_TIMES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
"Any[57.47923175, 124.723980125, 184.318667333, 347.704661541, 999.88135075]","Any[10.977474833, 15.190152166, 21.836839709, 40.920092625, 96.118063334]","Any[96.790106708, 182.813937459, 265.1739415, 481.3750035, 1311.21302875]",2,524658,0.0025627382465730464,2.0472555115669146e8,"[1, 2, 3, 5, 10]"
"Any[57.20944625, 124.258018417, 189.331116916, 363.659067084, 1037.243925167]","Any[10.883585042, 15.215574084, 22.326108334, 40.7043245, 98.219332708]","Any[96.556200042, 182.561596792, 271.56005, 499.501338417, 1356.25807525]",0,490686,0.0023945206433012753,2.0492034653061146e8,"[1, 2, 3, 5, 10]"
"Any[58.860468334, 125.8513535, 187.264274834, 344.662567958, 1078.191022625]","Any[11.094225792, 15.487106167, 22.701727959, 41.199054417, 97.148881958]","Any[97.308387333, 185.74497175, 269.330502417, 484.748074625, 1399.836255041]",2,558179,0.0027261103260663084,2.0475290184070972e8,"[1, 2, 3, 5, 10]"
"Any[57.652819292, 127.799494459, 190.66866175, 353.46021325, 960.888405083]","Any[10.989319625, 15.756192417, 23.295541541, 41.075211875, 90.748914959]","Any[97.195042583, 187.500666292, 274.122165959, 497.236739834, 1271.780423208]",5,546113,0.002667490836294009,2.0472910068501836e8,"[1, 2, 3, 5, 10]"
"Any[58.297509958, 127.832326583, 193.932504917, 371.054697167, 1108.764896708]","Any[11.292071792, 15.949697959, 23.571764625, 45.292552791, 104.363196708]","Any[98.438617667, 187.930839709, 277.782382667, 511.243447875, 1436.844514834]",0,525101,0.002564223075357857,2.0477976547602752e8,"[1, 2, 3, 5, 10]"
"Any[58.899689041, 128.692706333, 197.488318875, 355.842558166, 1085.989012333]","Any[11.179722541, 16.032618666, 23.961314666, 37.280554041, 101.613294833]","Any[99.177070875, 189.180011, 282.031209834, 489.984697375, 1403.3708335]",3,496445,0.0024243870733496476,2.047713442532459e8,"[1, 2, 3, 5, 10]"
"Any[60.468139084, 130.854127125, 196.687132, 351.591046166, 1115.281529916]","Any[10.012305875, 17.756393791, 23.551667625, 40.962464583, 107.962515625]","Any[98.451793375, 192.993405958, 280.890349875, 487.803771209, 1447.470959208]",1,495632,0.0024180263381156854,2.0497378055287647e8,"[1, 2, 3, 5, 10]"
"Any[58.861638333, 128.741800208, 195.979284708, 352.539911584, 1106.402870667]","Any[11.127137125, 15.881507625, 23.400472792, 37.106272459, 109.896766125]","Any[99.168474333, 189.000392417, 279.922256417, 485.469809208, 1431.324973667]",0,519578,0.0025366208385254065,2.0483077017613798e8,"[1, 2, 3, 5, 10]"
"Any[60.553413458, 130.800259584, 196.736868375, 351.526752959, 1092.367635458]","Any[9.985154708, 17.683377542, 23.641889667, 36.063060417, 107.699549]","Any[98.668270083, 193.019503291, 281.006366166, 483.33246575, 1401.970498584]",2,480795,0.0023466186717247747,2.0488842341248977e8,"[1, 2, 3, 5, 10]"
"Any[59.293222708, 129.2192335, 196.895822041, 354.203187, 1079.15912175]","Any[11.352276208, 16.067817375, 23.567125875, 36.4581495, 110.3350755]","Any[99.962823167, 189.84301275, 281.308803917, 486.160553333, 1387.434325666]",0,499186,0.0024357225828886995,2.0494370069352448e8,"[1, 2, 3, 5, 10]"
"Any[68.14431525, 146.047049084, 219.981155167, 393.060215917, 1096.85388375]","Any[18.060465333, 29.918226375, 42.288392417, 68.289607958, 183.991492833]","Any[115.332481166, 221.402939667, 322.667621708, 558.566286875, 1482.762781958]",2,503897,0.002461505116180378,2.0471092937719277e8,"[1, 2, 3, 5, 10]"
"Any[67.9954805, 146.027635708, 221.214555125, 394.0198335, 1167.2119085]","Any[18.204731958, 29.909406625, 42.393568625, 68.825920375, 189.803463]","Any[116.605648958, 221.673945625, 324.884654584, 559.576739416, 1574.413138625]",2,491439,0.0024002654454820097,2.0474360488962984e8,"[1, 2, 3, 5, 10]"
"Any[68.346908459, 147.590500959, 221.939251791, 388.902595583, 1120.7523455]","Any[18.264016791, 30.066289708, 42.463652209, 68.323562375, 191.657508]","Any[117.059859833, 223.493003583, 325.154152542, 554.281767208, 1507.232653958]",3,536853,0.0026217091827551303,2.0477214007231194e8,"[1, 2, 3, 5, 10]"
"Any[69.730314833, 148.100748458, 222.279992708, 391.303632291, 1014.229320084]","Any[18.403595667, 30.097778417, 42.700733917, 69.314804416, 185.735330833]","Any[117.580581041, 224.100513208, 325.667505458, 557.377951584, 1385.406160334]",2,518277,0.002531085949349712,2.0476467823352897e8,"[1, 2, 3, 5, 10]"
"Any[70.2912845, 147.415105791, 222.907456459, 400.2875345, 1147.6275735]","Any[18.390911417, 30.170076959, 42.823350459, 69.169287667, 192.2461185]","Any[118.2521295, 223.630538375, 326.514686125, 566.904009875, 1536.407190875]",0,511639,0.002498847693815687,2.0474997386444876e8,"[1, 2, 3, 5, 10]"
