PIQ_KL_FORWARD_DIVS,MDS_KL_FORWARD_DIVS,LANDMARK_KL_FORWARD_DIVS,PIQ_KL_BACKWARD_DIVS,MDS_KL_BACKWARD_DIVS,LANDMARK_KL_BACKWARD_DIVS,REAL_Q_CROSS_ENTROPY,PIQ_CROSS_ENTROPY,MDS_CROSS_ENTROPY,LANDMARK_CROSS_ENTROPY,REAL_Q_TREE_PROBS,PIQ_TREE_PROBS,MDS_TREE_PROBS,LANDMARK_TREE_PROBS,REAL_Q_ROOT_PROB_OF_START_INDICES,PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
1.6899819532138496,"Any[0.23612627627005106, 0.23600760201505813, 0.040347082389650256, 0.036200706359798544, 0.0484084406212819]","Any[1.9039992005808517, 0.059438006987649984, 0.05940863999776118, 0.05909600206016872, 0.05912284915248181]",13.174998144131266,"Any[0.7858722562553604, 0.785056530951976, 0.06717351327652013, 0.054535058031962985, 0.03978264039669087]","Any[22.061061936634285, 0.08176531366553114, 0.08161807941460454, 0.08095013382485584, 0.08093425752506184]",32.07354912781891,6.008680395731173,"Any[1.5556201511675014, 1.5663655866144766, 1.5742580007954234, 1.4818485479383132, 1.354541924394301]","Any[2.5037493603902417, 1.5681582451148117, 1.5987880163478516, 1.6220046611735104, 1.6378854925581796]",0.7159172171437115,0.7288986046361849,"Any[0.37999056305868334, 0.3846261047690529, 0.4014078066619644, 0.46137356326385526, 0.5511484127843581]","Any[0.19427647574964885, 0.4036973568786209, 0.40305061694926153, 0.4025636076206532, 0.40197005264084323]",0.47814767838722116,0.501583379361168,"Any[0.28843348031422317, 0.2884763302044398, 0.4278012907445394, 0.4370017875251402, 0.4909910320694489]","Any[0.04951116689395452, 0.39408596915370003, 0.39436167851091714, 0.39480655458791236, 0.39499060789092866]",0,2725,0.005184030807454677,525652.7403505065,"[3, 4, 5, 6, 7]"
1.918307431405983,"Any[0.2951610582058403, 0.2951411754623548, 0.34346590349218875, 0.2543912842416706, 0.10756058256382524]","Any[1.001213532942699, 0.6991162957239349, 0.5524569431419826, 0.4229074266743139, 0.2779378784313215]",0.46636658737992037,"Any[1.5970867943071292, 1.5978289948017632, 2.066928545560581, 1.7490542631899821, 0.7275688239591381]","Any[7.390398314654368, 4.959305453546658, 3.371835290216745, 3.1742260819202124, 1.8766544976745687]",33.81401633241279,10.310413092982847,"Any[0.3464059502491091, 0.36921696423487677, 0.4006069272135257, 0.4014940054953539, 0.43864737138068977]","Any[0.5189248299893964, 0.42467945080434255, 0.4308253778118705, 0.4542359139136128, 0.49581137429147887]",0.9834838780901828,0.9834122933964715,"Any[0.9101302601701582, 0.9133332758294262, 0.916146427634679, 0.9184082433847863, 0.9281478786996181]","Any[0.8019091271244817, 0.8598026079677775, 0.8642874295589323, 0.8871214610689949, 0.8937848500493544]",0.7644356154668713,0.9878187082795743,"Any[0.5156116036371122, 0.51568541778852, 0.5363792987634253, 0.6034284215073423, 0.6988733250846068]","Any[0.20894616335939173, 0.29606797041282096, 0.3429619489213235, 0.4287655454882591, 0.5014549918032758]",0,588,0.001171420402398604,501954.7199246396,"[3, 4, 5, 6, 7]"
2.748715175950311,"Any[0.38274331726203303, 0.733096480316782, 0.7681989556764002, 0.8950958583599843, 0.9701182517405057]","Any[2.642924834688537, 2.381094025915444, 3.0516276351504104, 3.473594655483025, 3.7438969405006444]",3.8322330461155443,"Any[0.9714439912687937, 1.042836519674675, 0.679571526368645, 0.2861568898127677, 0.24338243287365535]","Any[13.374462574751457, 10.720224441534711, 11.080449951777942, 9.807032564755099, 9.805184244699323]",15.282907632853174,7.121281623421547,"Any[0.7127154601423278, 0.7846776738808928, 0.8378173274276738, 0.9127826842027585, 0.8690802682305155]","Any[2.131048519919035, 1.4718977275418939, 1.52962630150876, 1.6635423229863162, 1.7610832488706736]",0.9546800133556455,0.9542758185691032,"Any[0.7725762011655304, 0.8344063562261892, 0.8527634767036119, 0.8653130488716053, 0.8754386016477409]","Any[0.39802792980869844, 0.5805481108529242, 0.593401213697203, 0.6188470219534231, 0.6291256559275162]",0.06356710610048097,0.0006590246678197473,"Any[0.05812447693575928, 0.06166187473205376, 0.06952964642201565, 0.08699477494412704, 0.07014890976101976]","Any[0.012548492521851761, 0.016605766345276916, 0.015285880110286254, 0.01815995064138542, 0.01789764614720488]",8,752,0.001464641230646664,513436.31755332963,"[3, 4, 5, 6, 7]"
3.07100279796188,"Any[0.44783170260684046, 0.40122712550568385, 0.28465737524534507, 0.2275389032171764, 0.20555224982821987]","Any[2.371722623456894, 1.9935773173073386, 1.8849994886597874, 1.5127492835173713, 1.4151055751340647]",15.328810974001065,"Any[2.8004776436858525, 2.602569965868614, 1.2092115698573096, 0.878608818759003, 0.789221250466522]","Any[13.625228378810949, 11.92108908917332, 11.191874328391282, 9.126577900472673, 8.051232740943222]",22.04341553767126,5.723386760134016,"Any[1.0052999840090868, 1.104721738852417, 1.1387388849616245, 1.2077037463530405, 1.1409209245949232]","Any[2.0781143853745494, 1.7218792938155918, 1.8458393403654125, 1.7808187359223075, 1.8458571857213881]",0.9286674447836705,0.9305383871115335,"Any[0.6360731033871114, 0.6697185239285035, 0.7048871898044016, 0.7241966749803971, 0.7586874774562012]","Any[0.32221229016373415, 0.41515328842785587, 0.42101176747958136, 0.47076147675752894, 0.4894367211745321]",0.2300138052956421,0.0031821044375525877,"Any[0.14003564697676998, 0.14672873542566697, 0.16698330439964032, 0.18137652057039094, 0.18682956816643811]","Any[0.020071023133000347, 0.02938160370985876, 0.03274712039184832, 0.04773753374481859, 0.05266307133037668]",1,1472,0.002775260937026261,530400.5761624969,"[3, 4, 5, 6, 7]"
2.152500571590396,"Any[1.610277767030532, 1.6777704225157737, 1.7116527784854656, 1.9663782678242998, 2.3602570875230966]","Any[1.772095800469487, 1.6680941165542915, 1.8398019000485457, 2.194207724665952, 2.3309395732357046]",9.07071749540635,"Any[1.38573252871207, 1.4327463761633017, 1.4525271594746374, 1.5455241903534325, 1.2764532724677675]","Any[4.3605669441351, 2.5737847335474116, 2.452227238478383, 2.2073346937819163, 2.17522690766293]",7.0132937572793415,5.519188783495917,"Any[1.0340732854662755, 1.090329641299133, 1.1408687510404212, 1.0463683402532784, 0.965669844082414]","Any[2.824313469318875, 2.2727875547602654, 2.248287904643966, 2.2444835897060993, 2.280399231492907]",0.8784069032100259,0.8771907702336954,"Any[0.5761504517307241, 0.596574731795902, 0.6067947119542135, 0.6849327852426772, 0.7401551721227464]","Any[0.21936370588543658, 0.27235469125949496, 0.2816798275031994, 0.2947941090861994, 0.30104187101498764]",0.09270920931377004,0.004128531292912383,"Any[0.020537462662706202, 0.02106410537562616, 0.022236280894243815, 0.01383560281539389, 0.019859788343285965]","Any[0.009773659561426644, 0.011266860894813702, 0.01172780617855381, 0.012448900509591809, 0.012599189468042876]",8,1481,0.0028730861183986346,515473.5844902072,"[3, 4, 5, 6, 7]"
0.06768748741171995,"Any[1.788865613213884, 1.7887136204269083, 1.92570663742691, 1.897913269529427, 2.455297665179478]","Any[1.9101144071622798, 1.5310587880564792, 1.5287819312988513, 1.410667899915823, 1.4130553384119344]",0.8413720669079899,"Any[9.987994023178654, 9.98859313416552, 10.460163972003356, 10.507266914910875, 11.927484685860282]","Any[7.3708661920485365, 8.91567892954519, 8.910540496414399, 9.254542914749011, 9.257214788979624]",19.82367352647674,7.718904375846019,"Any[0.6147690234231257, 0.6174354446658571, 0.6879605792182419, 0.7196420398468873, 0.8042728880369694]","Any[0.9590547071041171, 0.8432348043525549, 0.8662008933740333, 0.9396260871053815, 0.931959799388667]",0.8923615614079335,0.8907990024181957,"Any[0.8305685354311015, 0.8312717563491812, 0.8364047923356284, 0.8387763139228499, 0.8434723035273922]","Any[0.6714367816017023, 0.7541516594414602, 0.7541047694420567, 0.7896324044124702, 0.7958699302154322]",0.9891673105637645,0.9593604309573324,"Any[0.19161850259130578, 0.1916674658603251, 0.17414408787394767, 0.1828587265334416, 0.10297608779328914]","Any[0.14079429199840648, 0.21226560523272256, 0.2133128597587142, 0.25346796060147875, 0.2535615775871998]",0,3977,0.0076738205101328505,518255.5409979415,"[3, 4, 5, 6, 7]"
3.3215173845450674,"Any[1.2051192026314321, 1.186603573661807, 1.1668563729885728, 1.0782456056398113, 1.1472563630289279]","Any[2.3853506532072357, 1.3925500927233305, 1.4176694816530584, 1.4182936858820603, 1.4375210190992156]",28.385221958730835,"Any[20.903496406979663, 20.696981291085013, 21.634030117000265, 21.17307200440499, 19.98574748051461]","Any[25.160624743282867, 23.228735765551487, 23.47172600604413, 23.447729677046762, 23.60023683389026]",34.965244211296465,5.267375607220128,"Any[2.1175085801884124, 2.2088920116327886, 2.1893142971891044, 2.0805909056139806, 1.8827201620192957]","Any[3.4607193214709806, 2.393988868844932, 2.433659893235135, 2.4768246144710204, 2.5253378119546706]",0.6550532824430325,0.6765825082562411,"Any[0.22264589435585325, 0.23254894614870922, 0.2443685385468833, 0.28940885345200723, 0.36186817659860643]","Any[0.1075746160350659, 0.2107907675078633, 0.2104423263521736, 0.21032702419505234, 0.21004329677731937]",0.2107823103245314,0.00386540887472256,"Any[0.0649858083734492, 0.06620786964053187, 0.07067704092793993, 0.08154977452275299, 0.11030279530134095]","Any[0.01842654916062234, 0.054877793374371396, 0.0537965792694473, 0.053619682181463006, 0.05268363418720921]",5,3371,0.006381381851983808,528255.4904549463,"[3, 4, 5, 6, 7]"
2.594886195172964,"Any[0.4198826486766738, 0.39420867383161345, 0.37053594024300507, 0.32286449012276414, 0.3668956880452676]","Any[1.4724707722286692, 0.9411012270160032, 0.9404739820922324, 0.9428628349735287, 0.9442369445080185]",19.464963306004936,"Any[3.05578133959543, 2.97194445481584, 2.963175409543751, 2.42950619431412, 0.4040518078671091]","Any[10.659492885691403, 7.237867108489921, 7.140606347110658, 7.141536234580289, 7.083346976291221]",24.71837589306779,5.572812962701144,"Any[1.8275918573917942, 1.958873976520184, 1.9478505966590591, 1.837025037136218, 1.7065497271279142]","Any[3.304778378538261, 2.5289429929451566, 2.5615591732138006, 2.608231332916545, 2.6562295692468636]",0.6706901430123655,0.6937693742067742,"Any[0.29474499595969506, 0.2980538461271202, 0.30823829686510956, 0.36416518892326155, 0.4622539421618027]","Any[0.10798545664641299, 0.17008709365367056, 0.17098457967457667, 0.17085890754060887, 0.17123887381035244]",0.07528897670951452,0.005436316504597215,"Any[0.03713134338613118, 0.038099535973842594, 0.0387354764900222, 0.050079531406575395, 0.016630853456343173]","Any[0.017136215083995255, 0.027624280220548095, 0.02781129593089238, 0.028187148549940703, 0.02836628317062522]",1,3143,0.0062011629879660125,506840.41140336276,"[3, 4, 5, 6, 7]"
2.4363187212239987,"Any[0.7903556687700156, 0.9190675475920261, 0.9159071373863369, 0.8563989374479319, 0.5638385932955216]","Any[1.820718472794887, 1.6463611639298554, 1.8323983088761744, 2.0352713371208315, 2.1908038218795682]",12.711117443487485,"Any[2.298984764251327, 2.338959283599444, 2.120724475246134, 1.5794423038629266, 0.22366721468524295]","Any[7.105135877101976, 5.133998912606879, 5.079382070750089, 4.912033080431961, 4.854555332826743]",11.922647826532154,5.356043724883648,"Any[1.4940201931482051, 1.5084376685965712, 1.5494922897633412, 1.4374446934978573, 1.2086311634858433]","Any[2.4805371789636093, 2.097776646496293, 2.0834364879202365, 2.1326799554024367, 2.1449281272008114]",0.8067691567778036,0.8201318478391612,"Any[0.41780090930745295, 0.4357713643090455, 0.44954408600062545, 0.4781600464621164, 0.5871538075969226]","Any[0.23230079546368035, 0.28121505900498084, 0.2885289576131514, 0.29994125255656257, 0.3202700715797011]",0.08557479947628231,0.003918753169254326,"Any[0.031019723815825746, 0.03197184506183932, 0.03394584891650346, 0.04275731801123216, 0.08606383724348932]","Any[0.012461302186032678, 0.014927151576256247, 0.01532935023800458, 0.015943448251534976, 0.016180868748294153]",10,2891,0.005513639949685877,524336.0151155147,"[3, 4, 5, 6, 7]"
3.179782718460808,"Any[1.425619789616871, 1.400458703863154, 1.2955715920273114, 1.004140066623517, 0.550199114705925]","Any[2.328964341582819, 1.808558416058407, 1.7445981490738631, 1.729724788629545, 1.6897919875779994]",13.561539866908692,"Any[4.410698650531839, 4.474751024720227, 4.143534568785943, 3.6295827935998606, 1.178823982029477]","Any[8.947547522890154, 5.763351606771548, 5.666471007677917, 5.6341484527569365, 5.5117971769678284]",6.45155353443704,5.407695324066665,"Any[0.8772841737264814, 0.9063896754184133, 0.9457485332602698, 0.7816886314071639, 0.6668372421766184]","Any[2.0920564869479166, 1.4201941333025028, 1.3600954861310677, 1.3979573077501413, 1.4555145831546819]",0.93295606301705,0.9324053832502157,"Any[0.5919085980413208, 0.6035761895775204, 0.6372011240486551, 0.7503113349387888, 0.8041752629292825]","Any[0.30125397741994603, 0.4410695920184918, 0.45050469760582856, 0.45293074099802644, 0.457737976816656]",0.16560079600874222,0.004047706024540002,"Any[0.0336998234364787, 0.03481477249292001, 0.0401234769566053, 0.05770300166959129, 0.09409492713796837]","Any[0.013587392174762762, 0.02286765516693727, 0.024718415357015442, 0.02526247320494136, 0.02652201571421936]",4,1020,0.0019779496367355424,515685.5265958306,"[3, 4, 5, 6, 7]"
