PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
9.587379e-5,"Any[0.009221836389811932, 0.004988156731107675, 0.0011302078564197958]","Any[0.0020518886863374794, 0.0031057096429604396, 0.003330990348270153]",4,40860,0.0019893476020175884,2.0539396915129337e7,[25 50 75]
0.99583936,"Any[0.002360250752340414, 5.9571982251492575e-5, 2.9019667470287247e-5]","Any[0.04049306158141503, 0.05181141103513804, 0.05120747570888477]",0,39359,0.0019120470890267628,2.058474408181748e7,[25 50 75]
0.10067823,"Any[0.01144563129665191, 0.012802902237373619, 0.012982856388813604]","Any[0.0032685722381836056, 0.007626269904079034, 0.014310121371081265]",0,40228,0.0019664242266638184,2.045743713616147e7,[25 50 75]
4.875506e-5,"Any[2.2204460492457495e-16, 2.2204460492453822e-16, 2.2204460492453827e-16]","Any[9.427872926469295e-7, 4.351518712811408e-7, 1.8219219221883542e-8]",3,37940,0.0018509225339536494,2.049788648850611e7,[25 50 75]
9.997775e-5,"Any[0.001871615362931642, 0.0019468004496413088, 0.0019523059027417567]","Any[0.0012571537305949485, 0.001781437558858772, 0.002921903336346773]",4,43132,0.002105592349995504,2.0484496916077845e7,[25 50 75]
6.530056e-5,"Any[0.015563499886772022, 0.01494292711209419, 0.015121080215829337]","Any[4.778753312057166e-5, 9.00576762639242e-10, 3.961757750622874e-12]",2,45210,0.0022042862913964423,2.0510039996374026e7,[25 50 75]
9.115574e-5,"Any[2.2204460492453827e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]","Any[2.2236416125710775e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",1,43026,0.0020989033066723447,2.049927686674358e7,[25 50 75]
7.699267e-5,"Any[1.7187055911721182e-13, 2.2204460492453827e-16, 2.2204460492453822e-16]","Any[0.00691705898112192, 0.008518604750931445, 0.009561379290706457]",1,34709,0.0016935142304493733,2.049525145755048e7,[25 50 75]
0.018268092,"Any[0.0042797833417390916, 0.004414139537797121, 0.0044386697823323665]","Any[0.002518251427937607, 0.003963833928085385, 0.004698703646771812]",0,53048,0.0025873417957882503,2.0502896094498634e7,[25 50 75]
0.016687058,"Any[0.03218729484034471, 0.08033625359726429, 0.20064000181701147]","Any[0.03057736908894984, 0.016280914212766333, 0.012098740375842819]",0,42834,0.0020935667511479614,2.045982053188078e7,[25 50 75]
5.4608856e-5,"Any[0.0015879519625744136, 0.000712073261512106, 0.0006591904503883158]","Any[0.002320734780596428, 0.002665698098175353, 0.002292197722973986]",2,50387,0.0024566411467809735,2.0510525139589038e7,[25 50 75]
