PIQ_ROOT_PROB_OF_START_INDICES,MDS_ROOT_PROB_OF_START_INDICES,LANDMARK_ROOT_PROB_OF_START_INDICES,MINIMUM_MIGRATIONS,TOTAL_MIGRATIONS,AVERAGE_MIGRATIONS,TOTAL_BRANCHLENGTHS,DIMS
0.06246771,"Any[0.007870098181342596, 0.0069193103600586284, 0.006732004756509606]","Any[0.019380202894800674, 0.01490633628379083, 0.012609644806021633]",0,69588,0.003410977340363023,2.0401190936259314e7,[25 50 75]
0.28967878,"Any[0.04033941327376878, 0.04084255152655046, 0.04091007367087956]","Any[0.032724904733227395, 0.040700989214687414, 0.04694694804095464]",0,75340,0.00368283442858335,2.0457069537329298e7,[25 50 75]
8.896194e-5,"Any[0.03329812433402954, 0.03351057835364683, 0.03355943637905259]","Any[0.025685383608811813, 0.03246483145448207, 0.038165827126273526]",1,76480,0.003733719261357281,2.0483596823023595e7,[25 50 75]
8.308076e-5,"Any[0.0008720807467607523, 0.0008739481540660472, 0.0008751414642173084]","Any[0.0030306095937856696, 0.0026552935328711777, 0.0019070292246479367]",1,69059,0.0033795581100196648,2.0434328320988145e7,[25 50 75]
9.730696e-5,"Any[0.0045681241527527365, 9.209876542967319e-6, 5.615077259756025e-6]","Any[0.001951787261783979, 0.00012212289384573287, 7.720592418161113e-8]",4,66208,0.0032378568827807993,2.0448093413918268e7,[25 50 75]
9.994472e-5,"Any[0.004108801625350643, 0.004205247757278064, 0.004242867782948398]","Any[0.0039343732654689816, 0.004766171262021006, 0.005286569678409092]",7,75614,0.0036769301279232307,2.0564437552341413e7,[25 50 75]
0.3445448,"Any[0.2545726846746369, 0.26477442746773955, 0.26539636804633104]","Any[0.11710283867134119, 0.15545092143834408, 0.17322278481494716]",0,29458,0.0014362639750535868,2.051015726332684e7,[25 50 75]
8.635901e-5,"Any[0.011845585646773415, 0.011880736120259574, 0.011886766600682762]","Any[2.2204494282536203e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",3,40947,0.001997187660747704,2.050232975336445e7,[25 50 75]
0.9994105,"Any[0.633893452807319, 0.6488075576543475, 0.6511848032082818]","Any[0.30450103142833423, 0.41726214841268566, 0.4589360162946433]",0,47492,0.002319656622434649,2.047371992073278e7,[25 50 75]
9.339236e-5,"Any[0.003167908463876764, 0.003024368112693934, 0.0030096103335776666]","Any[0.004467967489884119, 0.004357870198382422, 0.0034990486037302496]",1,75866,0.003702001567697686,2.0493238215234432e7,[25 50 75]
0.2528468,"Any[0.0002615512004352171, 0.00023121511129294513, 0.00022994580696621963]","Any[0.012517153970270437, 0.014770871607148729, 0.006840344628766468]",0,42771,0.002087879696801957,2.048537569741835e7,[25 50 75]
9.858837e-5,"Any[0.0002238122676359939, 0.0001631661588927016, 0.00016262518484712508]","Any[0.007080390607029621, 0.00821401102565118, 0.005801756299541462]",4,77457,0.003780083326782911,2.049081813916541e7,[25 50 75]
9.9982884e-5,"Any[0.005236160628376026, 0.005501861575693142, 0.005568920350787199]","Any[0.005041085046195552, 0.005248867977040435, 0.00555312853064031]",7,75851,0.0036989629652614516,2.0506017689917225e7,[25 50 75]
1.3741941e-5,"Any[0.01919591469862253, 0.019198451161472223, 0.019194400816993907]","Any[0.01635293976154874, 0.015961751224839855, 0.016866877132098043]",2,74043,0.0036141353974168513,2.0487057583100267e7,[25 50 75]
0.5929637,"Any[0.019039309905168014, 0.01929573027720889, 0.01926608900949824]","Any[0.023862467037767232, 0.026505118188619944, 0.025839738498340602]",0,77794,0.0038067019130897323,2.043606296896991e7,[25 50 75]
0.14630942,"Any[0.16926601618918174, 0.7457506199163944, 0.8899823512956497]","Any[0.02329945794549502, 0.03924734722857977, 0.052858299808761604]",0,59752,0.0029190119255919924,2.0469940350751378e7,[25 50 75]
9.809347e-5,"Any[0.007361887212696931, 0.007055251030257338, 0.006795657241335465]","Any[0.0034077889555432744, 0.004140475746267475, 0.005379631315121661]",6,72863,0.0035546561317468307,2.049790396017677e7,[25 50 75]
0.025623273,"Any[0.13790946766577936, 0.138852123586978, 0.14058917625782755]","Any[8.089924225351549e-16, 2.2204460492708565e-16, 2.2204460492453857e-16]",0,60036,0.002938222693740618,2.0432760296861246e7,[25 50 75]
0.054173507,"Any[2.2204460492453827e-16, 2.2204460492453832e-16, 2.2204460492453827e-16]","Any[2.2204460492453827e-16, 2.2204460492453827e-16, 2.2204460492453822e-16]",0,50841,0.002480934572559385,2.0492680686678223e7,[25 50 75]
9.9360725e-5,"Any[0.00027409415853128007, 1.7057863583059327e-6, 1.1739566054624263e-6]","Any[0.004958587085324388, 0.00913484932721301, 0.013960257848526057]",1,43540,0.002123633300477953,2.0502598066342585e7,[25 50 75]
0.38179967,"Any[5.071181541946765e-9, 9.011924986487126e-11, 2.7805689928358654e-9]","Any[0.004909392828827171, 0.006190183051429247, 0.004094108674977881]",0,56340,0.002754490614258269,2.0453872562993385e7,[25 50 75]
8.726035e-5,"Any[0.01412540224264645, 0.009920269852638662, 0.00964652824366072]","Any[0.004714726510071835, 0.010018556417781852, 0.011883533712601585]",2,72310,0.003537456526953307,2.0441240605797123e7,[25 50 75]
0.28585327,"Any[0.028403913100570496, 0.0003326941249995188, 0.0007426415176504468]","Any[2.220664410080774e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",2,62721,0.00305528384581892,2.0528698204532497e7,[25 50 75]
9.9665296e-5,"Any[0.024095902808080674, 0.016691316147308243, 0.024004349096010638]","Any[0.0073932819797764525, 0.010708208697340973, 0.015232380153492807]",7,41344,0.002023068132383559,2.0436286518580522e7,[25 50 75]
9.995812e-5,"Any[0.00918191980293041, 0.009200827583925604, 0.009202399801478646]","Any[0.009137904449403047, 0.010217101223948172, 0.010605945317120878]",7,74166,0.0036174495604055826,2.0502290014427908e7,[25 50 75]
0.011601128,"Any[3.483147337202255e-8, 2.530772191450456e-10, 4.7898462284179575e-11]","Any[2.2208276377522836e-16, 2.2204460492453827e-16, 2.2204460492453827e-16]",0,66827,0.0032777383417420354,2.038814360162841e7,[25 50 75]
0.06359394,"Any[0.00010034492121751109, 7.059620560714009e-5, 6.874756020267293e-5]","Any[0.002816643204615632, 0.001137547197346621, 0.0002978013895142522]",0,77282,0.003768702639047986,2.0506261013875652e7,[25 50 75]
9.89437e-5,"Any[2.7302431778385575e-5, 2.3237487565859486e-5, 2.2232436779704578e-5]","Any[1.0638677629563029e-5, 1.8005216612868495e-7, 3.007293719797036e-8]",1,51553,0.0025220320669697345,2.0441056509619176e7,[25 50 75]
0.6826399,"Any[0.056808783474817215, 0.05792026936569669, 0.05810538665703556]","Any[0.020028922004023956, 0.03707321571277887, 0.05827831300753932]",0,49520,0.0024244631778443733,2.042514006916326e7,[25 50 75]
8.0782964e-5,"Any[6.45615786365084e-5, 6.607999807892192e-5, 6.579993897465638e-5]","Any[0.006943626322482659, 0.00666291794131629, 0.004872390883749181]",1,67824,0.003317432317491741,2.044472758114344e7,[25 50 75]
0.24081872,"Any[8.48788712843765e-6, 8.400670573269253e-6, 8.269223107878846e-6]","Any[0.003941007372084545, 0.0004728250743421705, 5.3962242828823716e-5]",0,58306,0.002841366117442154,2.0520410812981766e7,[25 50 75]
0.06683512,"Any[0.002564237943754276, 0.0021816076055192197, 0.00215121764363452]","Any[0.00687999616490139, 0.008731636515428503, 0.007702594414579578]",0,35744,0.001748132423674484,2.044696358006332e7,[25 50 75]
